location,label,side,material,grade,width,height,length,quantity,level
INTERNAL,FF-RD1,SQUARE,Top Rail,C16,38,89,114,1,FF Walls
INTERNAL,FF-RD2,ANGLED,Top Rail,C16,38,89,1881,2,FF Walls
INTERNAL,FF-RD2,SQUARE,Bottom Rail,C16,38,89,1640,1,FF Walls
INTERNAL,FF-RD2,SQUARE,Stud,C16,38,89,2557,3,FF Walls
INTERNAL,FF-RD2,ANGLED,Stud,C16,38,89,2686,1,FF Walls
INTERNAL,FF-RD2,ANGLED,Noggin,C16,38,89,210,1,FF Walls
INTERNAL,FF-RD2,ANGLED,Stud,C16,38,89,1882,1,FF Walls
INTERNAL,FF-RD2,SQUARE,Top Rail,C16,38,89,114,1,FF Walls
INTERNAL,FF-RD2,SQUARE,Top Rail,C16,38,89,109,1,FF Walls
INTERNAL,FF-RD2,ANGLED,Stud,C16,38,89,2553,1,FF Walls
INTERNAL,FF-RD2,ANGLED,Stud,C16,38,89,2218,1,FF Walls
INTERNAL,FF-RD2,SQUARE,Noggin,C16,38,89,118,1,FF Walls
INTERNAL,FF-RD2,ANGLED,Stud,C16,38,89,1546,1,FF Walls
INTERNAL,FF-RD2,SQUARE,Stud,C16,38,89,2686,2,FF Walls
INTERNAL,FF-RND1,SQUARE,Bottom Rail,C16,38,89,996,1,FF Walls
INTERNAL,FF-RND1,ANGLED,Stud,C16,38,89,2333,1,FF Walls
INTERNAL,FF-RND1,ANGLED,Top Rail,C16,38,89,1332,2,FF Walls
INTERNAL,FF-RND1,ANGLED,Stud,C16,38,89,2017,1,FF Walls
INTERNAL,FF-RND1,ANGLED,Stud,C16,38,89,1529,1,FF Walls
INTERNAL,FF-RND10,SQUARE,Noggin,C16,38,89,560,1,FF Walls
INTERNAL,FF-RND10,SQUARE,Bottom Rail,C16,38,89,2274,1,FF Walls
INTERNAL,FF-RND10,SQUARE,Top Rail,C16,38,89,2274,1,FF Walls
INTERNAL,FF-RND10,SQUARE,Noggin,C16,38,89,137,1,FF Walls
INTERNAL,FF-RND10,SQUARE,Header,C16,38,89,838,1,FF Walls
INTERNAL,FF-RND10,SQUARE,Stud,C16,38,89,2686,5,FF Walls
INTERNAL,FF-RND10,SQUARE,Stud,C16,38,89,646,3,FF Walls
INTERNAL,FF-RND10,SQUARE,Noggin,C16,38,89,541,1,FF Walls
INTERNAL,FF-RND2,SQUARE,Bottom Rail,C16,38,89,1877,1,FF Walls
INTERNAL,FF-RND2,SQUARE,Stud,C16,38,89,2047,2,FF Walls
INTERNAL,FF-RND2,SQUARE,Stud,C16,38,89,358,2,FF Walls
INTERNAL,FF-RND2,SQUARE,Stud,C16,38,89,492,1,FF Walls
INTERNAL,FF-RND2,ANGLED,Top Rail,C16,38,89,581,2,FF Walls
INTERNAL,FF-RND2,ANGLED,Stud,C16,38,89,2365,1,FF Walls
INTERNAL,FF-RND2,ANGLED,Stud,C16,38,89,492,1,FF Walls
INTERNAL,FF-RND2,SQUARE,Stud,C16,38,89,2686,1,FF Walls
INTERNAL,FF-RND2,ANGLED,Stud,C16,38,89,203,1,FF Walls
INTERNAL,FF-RND2,SQUARE,Top Rail,C16,38,89,114,1,FF Walls
INTERNAL,FF-RND2,ANGLED,Stud,C16,38,89,235,1,FF Walls
INTERNAL,FF-RND2,SQUARE,Stud,C16,38,89,2724,1,FF Walls
INTERNAL,FF-RND2,SQUARE,Stud,C16,38,89,530,2,FF Walls
INTERNAL,FF-RND2,SQUARE,Top Rail,C16,38,89,1342,1,FF Walls
INTERNAL,FF-RND2,SQUARE,Noggin,C16,38,89,50,1,FF Walls
INTERNAL,FF-RND2,SQUARE,Lintel,C24,44,147,1711,2,FF Walls
INTERNAL,FF-RND3,SQUARE,Stud,C16,38,89,492,5,FF Walls
INTERNAL,FF-RND3,ANGLED,Stud,C16,38,89,2355,1,FF Walls
INTERNAL,FF-RND3,SQUARE,Top Rail,C16,38,89,1343,1,FF Walls
INTERNAL,FF-RND3,ANGLED,Top Rail,C16,38,89,597,2,FF Walls
INTERNAL,FF-RND3,ANGLED,Stud,C16,38,89,492,1,FF Walls
INTERNAL,FF-RND3,SQUARE,Noggin,C16,38,89,63,1,FF Walls
INTERNAL,FF-RND3,ANGLED,Stud,C16,38,89,193,1,FF Walls
INTERNAL,FF-RND3,SQUARE,Bottom Rail,C16,38,89,1890,1,FF Walls
INTERNAL,FF-RND3,SQUARE,Stud,C16,38,89,2047,2,FF Walls
INTERNAL,FF-RND3,ANGLED,Stud,C16,38,89,224,1,FF Walls
INTERNAL,FF-RND3,SQUARE,Top Rail,C16,38,89,114,1,FF Walls
INTERNAL,FF-RND3,SQUARE,Stud,C16,38,89,358,2,FF Walls
INTERNAL,FF-RND3,SQUARE,Stud,C16,38,89,2686,2,FF Walls
INTERNAL,FF-RND3,SQUARE,Lintel,C24,44,147,1711,2,FF Walls
INTERNAL,FF-RND4,ANGLED,Top Rail,C16,38,89,1316,2,FF Walls
INTERNAL,FF-RND4,ANGLED,Stud,C16,38,89,2323,1,FF Walls
INTERNAL,FF-RND4,ANGLED,Stud,C16,38,89,1835,1,FF Walls
INTERNAL,FF-RND4,SQUARE,Bottom Rail,C16,38,89,984,1,FF Walls
INTERNAL,FF-RND4,ANGLED,Stud,C16,38,89,1529,1,FF Walls
INTERNAL,FF-RND5,ANGLED,Stud,C16,38,89,1914,1,FF Walls
INTERNAL,FF-RND5,ANGLED,Header,C16,38,89,1122,1,FF Walls
INTERNAL,FF-RND5,SQUARE,Stud,C16,38,89,428,3,FF Walls
INTERNAL,FF-RND5,ANGLED,Top Rail,C16,38,89,1881,2,FF Walls
INTERNAL,FF-RND5,ANGLED,Stud,C16,38,89,92,1,FF Walls
INTERNAL,FF-RND5,ANGLED,Header,C16,38,89,1076,1,FF Walls
INTERNAL,FF-RND5,SQUARE,Stud,C16,38,89,2686,3,FF Walls
INTERNAL,FF-RND5,SQUARE,Stud,C16,38,89,563,2,FF Walls
INTERNAL,FF-RND5,SQUARE,Bottom Rail,C16,38,89,1913,1,FF Walls
INTERNAL,FF-RND5,ANGLED,Stud,C16,38,89,1529,1,FF Walls
INTERNAL,FF-RND5,ANGLED,Stud,C16,38,89,613,1,FF Walls
INTERNAL,FF-RND5,SQUARE,Top Rail,C16,38,89,382,1,FF Walls
INTERNAL,FF-RND5,SQUARE,Top Rail,C16,38,89,114,1,FF Walls
INTERNAL,FF-RND6,ANGLED,Stud,C16,38,89,1933,1,FF Walls
INTERNAL,FF-RND6,SQUARE,Stud,C16,38,89,563,2,FF Walls
INTERNAL,FF-RND6,SQUARE,Stud,C16,38,89,428,3,FF Walls
INTERNAL,FF-RND6,ANGLED,Top Rail,C16,38,89,1144,1,FF Walls
INTERNAL,FF-RND6,SQUARE,Bottom Rail,C16,38,89,1936,1,FF Walls
INTERNAL,FF-RND6,ANGLED,Top Rail,C16,38,89,1881,2,FF Walls
INTERNAL,FF-RND6,ANGLED,Stud,C16,38,89,563,1,FF Walls
INTERNAL,FF-RND6,ANGLED,Top Rail,C16,38,89,1098,1,FF Walls
INTERNAL,FF-RND6,SQUARE,Top Rail,C16,38,89,406,1,FF Walls
INTERNAL,FF-RND6,SQUARE,Stud,C16,38,89,2686,3,FF Walls
INTERNAL,FF-RND6,ANGLED,Stud,C16,38,89,111,1,FF Walls
INTERNAL,FF-RND6,ANGLED,Stud,C16,38,89,1529,1,FF Walls
INTERNAL,FF-RND6,SQUARE,Top Rail,C16,38,89,114,1,FF Walls
INTERNAL,FF-RND7,SQUARE,Stud,C16,38,89,2686,3,FF Walls
INTERNAL,FF-RND7,SQUARE,Noggin,C16,38,89,541,1,FF Walls
INTERNAL,FF-RND7,SQUARE,Noggin,C16,38,89,131,1,FF Walls
INTERNAL,FF-RND7,SQUARE,Bottom Rail,C16,38,89,790,1,FF Walls
INTERNAL,FF-RND7,SQUARE,Top Rail,C16,38,89,790,1,FF Walls
INTERNAL,FF-RND8,SQUARE,Stud,C16,38,89,2047,2,FF Walls
INTERNAL,FF-RND8,SQUARE,Noggin,C16,38,89,503,1,FF Walls
INTERNAL,FF-RND8,SQUARE,Top Rail,C16,38,89,2330,1,FF Walls
INTERNAL,FF-RND8,SQUARE,Bottom Rail,C16,38,89,2330,1,FF Walls
INTERNAL,FF-RND8,SQUARE,Stud,C16,38,89,492,6,FF Walls
INTERNAL,FF-RND8,SQUARE,Stud,C16,38,89,2686,3,FF Walls
INTERNAL,FF-RND8,SQUARE,Lintel,C24,44,147,1711,2,FF Walls
INTERNAL,FF-RND9,SQUARE,Noggin,C16,38,89,452,1,FF Walls
INTERNAL,FF-RND9,SQUARE,Stud,C16,38,89,2686,3,FF Walls
INTERNAL,FF-RND9,SQUARE,Junction Stud,C16,38,89,2686,1,FF Walls
INTERNAL,FF-RND9,SQUARE,Noggin,C16,38,89,151,1,FF Walls
INTERNAL,FF-RND9,SQUARE,Top Rail,C16,38,89,810,1,FF Walls
INTERNAL,FF-RND9,SQUARE,Bottom Rail,C16,38,89,810,1,FF Walls
EXTERNAL,FF-XD1,ANGLED,Noggin,C16,38,89,267,1,FF Walls
EXTERNAL,FF-XD1,ANGLED,Stud,C16,38,89,1721,1,FF Walls
EXTERNAL,FF-XD1,SQUARE,Headbinder,C16,38,89,392,1,FF Walls
EXTERNAL,FF-XD1,SQUARE,Noggin,C16,38,89,149,1,FF Walls
EXTERNAL,FF-XD1,ANGLED,Stud,C16,38,89,2604,1,FF Walls
EXTERNAL,FF-XD1,SQUARE,Stud,C16,38,89,2736,5,FF Walls
EXTERNAL,FF-XD1,SQUARE,Bottom Rail,C16,38,89,216,1,FF Walls
EXTERNAL,FF-XD1,ANGLED,Stud,C16,38,89,2762,1,FF Walls
EXTERNAL,FF-XD1,SQUARE,Top Rail,C16,38,89,114,1,FF Walls
EXTERNAL,FF-XD1,SQUARE,Top Rail,C16,38,89,186,1,FF Walls
EXTERNAL,FF-XD1,SQUARE,Headbinder,C16,38,89,186,1,FF Walls
EXTERNAL,FF-XD1,ANGLED,Stud,C16,38,89,2101,1,FF Walls
EXTERNAL,FF-XD1,ANGLED,Top Rail,C16,38,89,1870,1,FF Walls
EXTERNAL,FF-XD1,SQUARE,Top Rail,C16,38,89,692,1,FF Walls
EXTERNAL,FF-XD1,ANGLED,Stud,C16,38,89,1794,1,FF Walls
EXTERNAL,FF-XD1,SQUARE,Noggin,C16,38,89,73,1,FF Walls
EXTERNAL,FF-XD1,SQUARE,Noggin,C16,38,89,108,1,FF Walls
EXTERNAL,FF-XD1,ANGLED,Stud,C16,38,89,1571,1,FF Walls
EXTERNAL,FF-XD1,SQUARE,Noggin,C16,38,89,501,1,FF Walls
EXTERNAL,FF-XD1,SQUARE,Bottom Rail,C16,38,89,2252,1,FF Walls
EXTERNAL,FF-XD1,SQUARE,Stud,C16,38,89,2556,3,FF Walls
EXTERNAL,FF-XD1,ANGLED,Junction Stud,C16,38,140,1689,1,FF Walls
EXTERNAL,FF-XD1,SQUARE,Other,C16,38,38,114,1,FF Walls
EXTERNAL,FF-XD1,ANGLED,Other,C16,38,38,1913,1,FF Walls
EXTERNAL,FF-XD1,ANGLED,Other,C16,38,38,1884,1,FF Walls
